Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
7/19/2016,Tuesday,2163.78,1,-13,6,8,2034.371,0,-13.85,14.33,5.00,-1.72,0.85,-0.31,0.25,0.43,-0.14,11.97,12.49,12.22090909
7/20/2016,Wednesday,2173.02,2,-12,6,8,2035.4793,1,-10.45,13.83,4.17,-1.54,0.64,-0.42,-0.30,-0.36,0.43,11.77,12.702,12.20136364
7/21/2016,Thursday,2165.17,2,-12,5,8,2036.3699,1,-12.03,14.20,4.90,-0.96,0.86,-0.04,0.23,0.46,-0.36,12.74,12.698,12.18
7/22/2016,Friday,2175.03,5,-12,6,8,2037.34545,1,-12.43,13.56,4.15,-1.55,0.35,0.36,-0.07,-0.30,0.46,12.02,12.668,12.19636364
7/25/2016,Monday,2168.48,8,-12,5,7,2038.2087,1,-12.88,14.23,5.15,-1.26,0.85,0.57,0.11,0.03,-0.30,12.87,12.582,12.22272727
7/26/2016,Tuesday,2169.18,8,-12,5,9,2038.98745,1,-13.7,14.23,5.96,-0.82,0.29,0.58,-0.56,-0.12,0.03,13.05,12.646,12.24909091
7/27/2016,Wednesday,2166.58,7,-13,4,10,2039.7459,1,-11.91,14.25,6.00,-1.08,0.27,0.41,-0.13,0.16,-0.12,12.83,12.652,12.28636364
7/28/2016,Thursday,2170.06,6,-13,5,9,2040.5089,1,-14.14,13.92,5.74,-1.41,-0.05,0.72,-0.27,0.16,0.16,12.72,12.592,12.29636364
7/29/2016,Friday,2173.6,6,-12,4,9,2041.35845,1,-9.17,13.65,4.94,-1.87,0.31,0.48,0.43,-0.13,0.16,11.87,12.496,12.35318182
8/1/2016,Monday,2170.84,5,-12,5,8,2042.24145,1,-10.03,14.07,4.98,-2.05,0.24,0.89,0.46,-0.64,-0.13,12.44,12.308,12.39772727
8/2/2016,Tuesday,2157.03,7,-12,3,7,2042.9073,1,-16.28,14.86,5.68,-1.43,0.65,0.98,1.15,0.31,-0.64,13.37,11.966,12.40272727
8/3/2016,Wednesday,2163.79,8,-13,4,8,2043.5607,1,-13.65,14.25,5.41,-2.41,0.33,0.85,0.54,0.02,0.31,12.86,11.804,12.36272727
